,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,1,0,0,1,1,1,0,1,1,1,1,1
Inventory Days,35,36,34,34,34,35,34,40,38,33,33,36
Days Payable,11,8,10,9,9,10,8,10,8,8,8,8
Cash Conversion Cycle,24,28,24,26,25,26,26,30,31,26,26,30
Working Capital Days,20,22,11,9,16,17,23,24,24,22,26,25
ROCE %,21%,21%,24%,21%,24%,26%,20%,13%,16%,20%,19%,18%
