,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Cash from Operating Activity +,14,80,14,71,62,38,129,143
Cash from Investing Activity +,-41,-14,-10,-29,-33,-30,-22,-29
Cash from Financing Activity +,28,-71,-6,-36,-23,-11,-79,-32
Net Cash Flow,1,-5,-2,7,6,-4,28,82
