,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,135,137,174,158,147,229,301,276,112,96,106,75
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,135,137,174,158,147,229,301,276,112,96,106,75
Working Capital Days,46,82,104,173,139,132,198,295,128,142,105,21
ROCE %,12%,10%,10%,21%,13%,11%,9%,8%,8%,13%,7%,11%
