,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,12,14,17,15,10,12,21,28
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,12,14,17,15,10,12,21,28
Working Capital Days,10,-0,7,-28,-2,37,31,143
ROCE %,,38%,44%,42%,56%,46%,48%,57%
