,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,44,44,42,41,41,43,87,87,181,181,181,181
Reserves,826,972,"1,096","1,321","1,538","2,587","2,892","3,416","4,335","4,739","5,109","5,424"
Borrowings +,"1,039","1,202","1,292","1,564","2,083","2,401","2,098","2,857","2,587","2,907","3,242","3,847"
Other Liabilities +,760,719,538,573,730,826,"1,256","1,282",748,754,"1,084","1,662"
Total Liabilities,"2,670","2,938","2,966","3,499","4,391","5,858","6,332","7,642","7,851","8,581","9,616","11,114"
Fixed Assets +,826,967,"1,246","1,697","1,998","2,147","2,468","3,593","3,595","4,861","5,649","6,556"
CWIP,117,193,313,270,436,795,"1,418","1,298","1,346","1,096","1,229","1,274"
Investments,117,139,41,47,47,33,37,64,28,17,23,48
Other Assets +,"1,609","1,639","1,366","1,486","1,910","2,884","2,409","2,688","2,882","2,607","2,714","3,236"
Total Assets,"2,670","2,938","2,966","3,499","4,391","5,858","6,332","7,642","7,851","8,581","9,616","11,114"
