,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,55.39%,55.39%,55.39%,55.22%,55.22%,55.22%
FIIs +,2.02%,1.10%,1.63%,3.62%,3.10%,3.10%
DIIs +,2.50%,1.51%,1.78%,3.44%,3.06%,2.48%
Public +,40.09%,42.01%,41.20%,37.72%,38.61%,39.20%
No. of Shareholders,"10,39,672","11,78,338","12,41,881","12,79,750","13,50,826","13,74,613"
