,Mar 2024,Mar 2025
Promoters +,78.06%,75.00%
FIIs +,4.43%,6.51%
DIIs +,12.44%,13.80%
Public +,5.07%,4.69%
No. of Shareholders,"1,32,505","1,22,650"
