,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,6.43%,6.87%,7.65%,7.65%,7.34%,8.31%,7.82%,7.79%,8.67%,9.53%,11.50%,12.37%
DIIs +,16.69%,16.24%,15.50%,15.55%,15.91%,14.91%,15.40%,15.44%,14.34%,13.57%,11.74%,10.89%
Public +,1.88%,1.88%,1.85%,1.81%,1.74%,1.80%,1.77%,1.76%,1.98%,1.90%,1.75%,1.75%
No. of Shareholders,"73,289","72,073","77,071","78,124","75,251","76,308","77,090","84,155","92,679","85,359","85,357","85,528"
