,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Promoters +,74.89%,74.87%,74.86%,74.85%,74.85%,74.83%,74.79%,74.77%,74.74%,74.65%,74.58%,74.35%
FIIs +,7.32%,7.10%,7.43%,7.77%,8.75%,9.48%,10.06%,10.33%,10.43%,9.31%,10.45%,11.17%
DIIs +,7.08%,6.75%,6.24%,5.82%,5.06%,5.08%,6.20%,6.35%,7.38%,10.02%,9.06%,8.49%
Public +,10.71%,11.28%,11.47%,11.56%,11.35%,10.60%,8.93%,8.55%,7.44%,6.02%,5.88%,6.00%
No. of Shareholders,"1,86,875","1,93,295","1,91,509","1,76,574","1,72,788","1,65,923","1,38,563","1,30,734","1,25,307","1,29,865","1,16,342","1,18,829"
