,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-243,-634,5,-241,-30,472,567
Cash from Investing Activity +,-939,-933,338,"-2,742","-3,408",-99,-104
Cash from Financing Activity +,"2,858",-17,-147,"2,902","3,538",-366,-432
Net Cash Flow,"1,676","-1,583",196,-81,100,8,31
