,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,38.84%,38.85%,38.82%,38.82%
FIIs +,8.91%,19.41%,16.73%,15.44%
DIIs +,21.02%,29.76%,33.13%,31.95%
Public +,31.23%,11.99%,11.32%,13.78%
No. of Shareholders,"73,664","60,980","69,092","1,01,895"
