,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,55.23%,55.19%,60.71%,60.65%,60.65%,60.65%,74.62%,70.12%,68.11%
FIIs +,0.01%,0.00%,0.00%,0.00%,0.00%,0.07%,0.01%,2.28%,3.86%
DIIs +,1.53%,0.00%,9.33%,9.33%,9.33%,9.33%,1.49%,1.92%,1.71%
Public +,43.22%,44.81%,29.96%,30.02%,30.02%,29.95%,23.88%,25.68%,26.32%
No. of Shareholders,"12,856","12,472","10,767","10,714","10,740","16,222","29,778","1,75,669","3,83,418"
