,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,875","1,606","1,843","2,340","3,604","1,932","2,252","2,635","2,117"
Cash from Investing Activity +,-139,135,189,"-1,760",-300,"-1,045","-2,326","-2,750","-2,270"
Cash from Financing Activity +,"-1,749","-1,564","-2,067",-594,"-3,375",-942,168,222,-39
Net Cash Flow,-13,177,-35,-14,-71,-55,94,107,-192
