,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,15,16,16,16,16,16,16,16,16,16,16,16
Reserves,514,725,956,"1,159","1,335","1,559","1,698","1,853","2,106","2,311","2,601","2,728"
Borrowings +,236,243,294,213,170,120,166,126,165,250,239,274
Other Liabilities +,410,575,653,652,619,677,557,530,699,751,684,738
Total Liabilities,"1,176","1,559","1,918","2,040","2,140","2,372","2,437","2,525","2,986","3,328","3,539","3,756"
Fixed Assets +,692,860,"1,121","1,177","1,145","1,078","1,195","1,192","1,150","1,447","1,638","1,717"
CWIP,41,78,8,8,18,93,27,15,263,82,68,109
Investments,0,0,0,0,0,0,10,5,0,2,18,34
Other Assets +,443,621,790,854,977,"1,200","1,206","1,313","1,573","1,798","1,815","1,896"
Total Assets,"1,176","1,559","1,918","2,040","2,140","2,372","2,437","2,525","2,986","3,328","3,539","3,756"
