,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,53.58%,52.32%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%
FIIs +,11.86%,9.64%,7.94%,7.27%,5.31%,6.33%,6.51%,6.77%,8.21%
DIIs +,20.84%,24.43%,25.92%,28.54%,29.20%,28.26%,29.09%,29.00%,26.51%
Public +,13.72%,13.61%,13.56%,11.61%,12.92%,12.84%,11.81%,11.65%,12.68%
No. of Shareholders,"24,617","22,804","22,660","22,785","31,411","41,009","43,098","45,970","66,264"
