,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,952,782,546,616,741,739,626
Cash from Investing Activity +,589,-428,"-1,152",-373,-584,-476,-966
Cash from Financing Activity +,"-1,668",110,622,-248,-144,-264,348
Net Cash Flow,-127,464,17,-5,14,-2,7
