,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,53.08%,53.06%,53.06%,51.65%,51.62%,51.55%,51.47%,50.35%,49.92%
FIIs +,20.70%,20.25%,18.94%,12.21%,16.49%,17.61%,19.63%,26.00%,28.23%
DIIs +,15.93%,16.53%,16.98%,27.03%,24.43%,23.00%,21.45%,17.05%,15.49%
Public +,10.29%,10.16%,11.02%,9.11%,7.46%,7.84%,7.44%,6.61%,6.36%
No. of Shareholders,"32,392","37,240","46,644","68,625","86,296","1,20,069","1,21,184","1,55,055","1,78,471"
