,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-552,-196,283,647,925,948,783,"1,818",977,615,"1,118","1,947"
Cash from Investing Activity +,-252,"3,855",733,-227,104,-66,-194,-99,-313,-55,226,"-1,114"
Cash from Financing Activity +,"1,235","-4,002","-1,155",-475,-966,-808,-740,"-1,707",-688,-500,-407,-557
Net Cash Flow,431,-343,-139,-56,63,74,-150,12,-23,60,937,276
