,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,87.94%,87.94%,87.94%,87.94%,87.94%,87.94%,87.88%,87.88%,87.88%,87.88%,87.88%,74.36%
FIIs +,1.50%,1.63%,1.57%,1.27%,1.14%,0.63%,0.65%,0.77%,0.73%,0.95%,1.16%,4.31%
DIIs +,0.00%,0.09%,0.14%,0.11%,0.06%,0.06%,0.12%,0.29%,0.25%,0.07%,0.05%,8.90%
Public +,10.56%,10.34%,10.35%,10.68%,10.85%,11.36%,11.35%,11.08%,11.15%,11.11%,10.91%,12.08%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%
No. of Shareholders,"11,17,522","9,87,112","10,05,433","11,32,258","11,44,602","11,53,748","12,00,267","11,73,450","11,61,453","10,75,647","10,59,390","10,57,695"
