,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.58%,73.28%,73.18%,73.12%
FIIs +,5.10%,5.51%,6.47%,7.86%
DIIs +,16.22%,15.57%,15.18%,15.26%
Public +,5.10%,5.62%,5.18%,3.76%
No. of Shareholders,"67,000","63,484","66,301","71,321"
