,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,44.55%,44.00%,38.48%,38.21%,35.55%
FIIs +,5.01%,8.96%,16.61%,17.27%,13.05%
DIIs +,11.97%,10.33%,9.73%,9.49%,14.27%
Public +,38.47%,36.72%,35.17%,35.02%,37.12%
No. of Shareholders,"46,605","1,01,028","1,42,320","2,00,355","4,02,193"
