,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,375,389,403,403,505,505,497,497,500,500,500,500
Reserves,536,"1,096",17,"1,472","2,327","2,709","2,775","2,875","3,080","3,574","3,686","2,929"
Borrowings +,886,"1,091","3,321","2,758","2,352","2,788","5,605","4,804","5,282","6,075","1,758","2,018"
Other Liabilities +,"1,097","1,834","2,003","2,171","2,296","2,926","3,528","3,444","3,661","4,687","12,039","1,161"
Total Liabilities,"2,894","4,409","5,743","6,804","7,479","8,928","12,405","11,620","12,521","14,836","17,983","6,606"
Fixed Assets +,"1,087","2,237","2,507","3,520","3,738","4,289","7,124","6,749","7,009","9,052","3,175","3,922"
CWIP,357,197,358,290,402,550,736,934,998,279,170,291
Investments,7,3,39,32,38,22,34,63,45,80,17,245
Other Assets +,"1,442","1,972","2,839","2,962","3,302","4,067","4,511","3,874","4,470","5,425","14,620","2,148"
Total Assets,"2,894","4,409","5,743","6,804","7,479","8,928","12,405","11,620","12,521","14,836","17,983","6,606"
