,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,62.80%,62.78%,62.74%,62.72%
FIIs +,6.90%,9.77%,12.44%,10.46%
DIIs +,5.75%,9.66%,12.20%,16.87%
Public +,24.55%,17.78%,12.64%,9.95%
No. of Shareholders,"2,73,646","3,06,355","3,34,075","2,56,379"
