,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,0.00%,0.00%,0.00%,0.00%,37.17%,56.37%,55.60%,53.83%
FIIs +,16.91%,25.06%,22.52%,21.27%,14.01%,10.49%,11.33%,7.08%
DIIs +,10.60%,12.41%,18.97%,7.60%,5.21%,3.98%,4.76%,4.85%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public +,72.49%,62.53%,58.51%,71.13%,43.60%,29.16%,28.31%,33.59%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.64%
No. of Shareholders,"21,200","24,065","25,951","49,354","1,03,525","1,45,872","1,72,998","3,02,354"
