,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"2,055",-678,"-10,083"
Cash from Investing Activity +,"-1,110","1,441","6,406"
Cash from Financing Activity +,-889,-753,"3,962"
Net Cash Flow,56,11,285
