,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"19,142","26,297","14,477","77,406","-96,508","29,556","23,929","89,919","57,695","-86,014","21,632","48,486"
Cash from Investing Activity +,-791,"-3,424","-2,747","-4,572","13,053",220,-555,"-3,670","-2,652",-966,"-3,476","-5,635"
Cash from Financing Activity +,"3,583","-1,553","4,348","-4,196","5,547",448,"5,430","7,143","-3,845","6,386","-9,896","-13,739"
Net Cash Flow,"21,934","21,320","16,078","68,638","-77,908","30,223","28,803","93,392","51,198","-80,593","8,260","29,112"
