,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,57,67,68,89,98,110,94,79,81,94,97,63
Inventory Days,184,175,158,193,211,208,207,246,245,197,202,227
Days Payable,123,125,154,165,167,149,152,168,141,123,125,133
Cash Conversion Cycle,119,118,71,116,142,169,149,158,185,168,175,158
Working Capital Days,46,56,46,62,95,99,79,95,112,95,103,129
ROCE %,17%,23%,28%,16%,18%,15%,11%,14%,13%,15%,22%,24%
