,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,108,167,49,183,60,765,"1,002",824,650,878
Cash from Investing Activity +,-89,-169,-353,-525,-163,-428,-396,-424,-276,-721
Cash from Financing Activity +,-22,4,305,345,96,-338,-599,-386,-359,44
Net Cash Flow,-3,2,1,4,-6,-1,7,14,15,200
