,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,940,"2,209",548,-23,566,-51,271,-315,"-1,293"
Cash from Investing Activity +,-247,-195,-123,-241,-92,-176,138,-524,-438
Cash from Financing Activity +,-175,"-1,795",-677,392,-471,207,-553,"1,272","2,218"
Net Cash Flow,518,219,-253,128,4,-21,-144,433,487
