,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,65.11%,63.03%,63.03%,63.21%,63.21%,63.31%,63.30%,60.01%,60.01%,60.01%,60.01%,60.16%
FIIs +,4.65%,8.32%,9.12%,10.73%,10.64%,9.51%,8.96%,11.52%,13.10%,13.04%,13.07%,12.88%
DIIs +,0.07%,0.08%,0.08%,0.09%,0.56%,1.66%,1.60%,3.63%,6.51%,6.69%,6.71%,6.57%
Public +,30.18%,28.57%,27.76%,25.97%,25.57%,25.53%,26.14%,24.83%,20.36%,20.26%,20.21%,20.38%
No. of Shareholders,"55,810","53,032","52,492","48,465","46,580","50,956","57,858","63,832","74,161","1,16,891","1,56,568","2,12,034"
