,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,118,142,115,126,115,90,84,109,96,82,102
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,118,142,115,126,115,90,84,109,96,82,102
Working Capital Days,-18,7,-1,-30,-122,-149,-235,-285,-241,-190,-130
ROCE %,,35%,28%,32%,29%,30%,18%,18%,21%,27%,32%
