,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,168,79,82,97,76,83,74,73
Inventory Days,619,121,161,173,140,97,92,82
Days Payable,719,123,95,127,85,74,79,77
Cash Conversion Cycle,68,77,148,143,132,105,87,78
Working Capital Days,49,-13,80,122,93,86,75,204
ROCE %,,51%,19%,21%,22%,22%,24%,19%
