,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.04,0.04,0.04,0.04,0.04,0.05,90,90,90,92
Reserves,97,301,787,489,"1,265","1,990","5,322","5,386","5,781","6,340"
Borrowings +,0,1,1,90,110,110,159,227,253,322
Other Liabilities +,29,43,92,172,202,230,344,551,604,775
Total Liabilities,126,345,880,751,"1,576","2,331","5,915","6,254","6,729","7,529"
Fixed Assets +,4,6,11,119,147,125,205,313,359,418
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,19,237,650,125,2,138,373,622,"1,358","2,173"
Other Assets +,103,102,219,507,"1,427","2,068","5,338","5,319","5,011","4,938"
Total Assets,126,345,880,751,"1,576","2,331","5,915","6,254","6,729","7,529"
