,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,716,"1,047","1,463","1,708","2,482","1,575","1,694","1,691","1,527","2,823","3,724","3,980"
Cash from Investing Activity +,-790,"-1,214","-1,001","-1,744","-2,145",-660,"-1,508","-1,625",-983,"-2,397","-2,834","-2,483"
Cash from Financing Activity +,-47,-162,-466,25,-262,-292,-858,-15,-593,-417,-844,"-1,399"
Net Cash Flow,-121,-329,-4,-10,75,623,-673,51,-50,8,45,98
