,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,68,68,72,79,71,61,46,53
Inventory Days,82,30,18,41,87,141,94,60
Days Payable,195,154,156,167,113,109,100,136
Cash Conversion Cycle,-44,-56,-66,-47,45,92,40,-23
Working Capital Days,-28,-65,-115,-20,-3,-1,-18,27
ROCE %,,17%,17%,14%,13%,15%,15%,13%
