,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,"13,274","54,367","80,602","-3,783","54,519","26,122"
Cash from Investing Activity +,"9,636","-40,415","148,447","12,531","-52,848","-25,269"
Cash from Financing Activity +,"-13,700","-18,664","-256,125",0,-949,"-4,427"
Net Cash Flow,"9,210","-4,712","-27,077","8,748",722,"-3,574"
