,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,40,200,222,222,222,222,222,222,222,222,326,326,"1,304"
Reserves,256,228,"1,170","1,665","1,968","1,782","1,743","1,464","1,094",688,"1,387","1,371","1,365"
Borrowings +,375,557,874,"1,457","1,674","1,062","1,305","1,121","1,566","2,637","2,416","3,248","3,543"
Other Liabilities +,279,495,930,"1,434","1,291","1,032","1,471","2,485","2,582","2,417","1,912","1,849","2,147"
Total Liabilities,950,"1,480","3,196","4,778","5,155","4,098","4,741","5,292","5,464","5,965","6,041","6,795","8,358"
Fixed Assets +,157,174,203,527,765,985,973,"1,228","1,191","1,343","1,619","1,813","1,946"
CWIP,4,25,49,43,112,20,66,33,230,148,123,266,263
Investments,0,45,0,63,253,0,91,94,33,33,1,0,534
Other Assets +,789,"1,235","2,944","4,146","4,024","3,094","3,611","3,936","4,010","4,440","4,298","4,716","5,615"
Total Assets,950,"1,480","3,196","4,778","5,155","4,098","4,741","5,292","5,464","5,965","6,041","6,795","8,358"
