,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,49,49,49,49,49
Reserves,"1,514","1,836","2,292","2,633","2,549"
Borrowings +,18,16,14,12,7
Other Liabilities +,721,713,822,957,959
Total Liabilities,"2,303","2,615","3,178","3,651","3,564"
Fixed Assets +,345,402,424,472,551
CWIP,65,52,63,89,56
Investments,2,2,2,9,9
Other Assets +,"1,890","2,158","2,688","3,081","2,948"
Total Assets,"2,303","2,615","3,178","3,651","3,564"
