,Mar 2024,Mar 2025
Promoters +,55.39%,55.22%
FIIs +,1.10%,3.10%
DIIs +,1.51%,2.48%
Public +,42.01%,39.20%
No. of Shareholders,"11,78,338","13,74,613"
