,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024
Debtor Days,39,41,52,49,57,59,42,57,86,100,78,62
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,39,41,52,49,57,59,42,57,86,100,78,62
Working Capital Days,-86,-46,-39,-7,2,-8,-26,-35,-9,8,-5,-30
ROCE %,60%,48%,45%,45%,41%,45%,42%,37%,38%,41%,41%,36%
