,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,161,15,12,12
Inventory Days,,216,83,58
Days Payable,,271,98,112
Cash Conversion Cycle,161,-40,-4,-43
Working Capital Days,"-21,055",-23,40,-34
ROCE %,,-24%,-30%,-32%
