,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.05%,0.07%,0.11%,0.11%,0.12%,0.07%,0.10%,0.14%
DIIs +,8.57%,8.57%,8.57%,8.57%,0.01%,8.58%,8.59%,8.61%,8.60%,8.60%,8.61%,8.59%
Government +,0.40%,0.40%,0.40%,0.40%,8.96%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%
Public +,1.03%,1.03%,1.03%,1.03%,0.97%,0.95%,0.90%,0.89%,0.88%,0.93%,0.89%,0.87%
No. of Shareholders,"34,155","34,428","39,394","45,300","44,503","54,769","61,556","58,568","92,862","1,10,531","1,09,350","85,224"
