,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.40%,73.34%,73.34%,73.34%,73.33%,73.30%,73.27%,73.24%,73.17%,73.05%,73.01%,73.00%
FIIs +,16.13%,16.63%,15.41%,15.20%,15.43%,15.51%,14.73%,13.35%,13.23%,12.98%,12.78%,13.24%
DIIs +,5.09%,5.02%,5.93%,6.14%,6.32%,6.37%,6.92%,8.54%,8.82%,9.29%,9.45%,8.80%
Public +,5.38%,4.99%,5.31%,5.30%,4.92%,4.81%,5.06%,4.85%,4.75%,4.66%,4.76%,4.94%
No. of Shareholders,"3,73,953","3,65,941","3,84,297","3,82,944","3,62,342","3,52,395","3,58,759","3,41,039","3,29,374","3,23,661","3,26,208","3,29,897"
