,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,91,99,93,95,94
Inventory Days,218,207,227,269,261
Days Payable,163,153,161,190,173
Cash Conversion Cycle,147,153,159,174,182
Working Capital Days,78,115,124,115,123
ROCE %,,7%,2%,5%,7%
