,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,44.40%,44.40%,44.40%,44.40%
FIIs +,42.79%,43.06%,38.05%,31.61%
DIIs +,6.61%,6.59%,11.78%,17.88%
Public +,3.98%,3.72%,3.60%,3.99%
Others +,2.22%,2.22%,2.17%,2.11%
No. of Shareholders,"32,696","31,523","32,900","33,572"
