,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,87.94%,87.94%,87.88%,74.36%
FIIs +,2.01%,1.27%,0.77%,4.31%
DIIs +,0.41%,0.11%,0.29%,8.90%
Public +,9.64%,10.68%,11.08%,12.08%
Others +,0.00%,0.00%,0.00%,0.34%
No. of Shareholders,"8,02,280","11,32,258","11,73,450","10,57,695"
