,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.37%,73.35%,73.35%,73.35%,73.35%,73.35%,73.35%,73.35%,73.35%,73.35%,73.35%,73.35%
FIIs +,10.96%,9.93%,10.00%,9.37%,8.70%,8.12%,8.34%,8.33%,8.68%,9.85%,10.26%,11.02%
DIIs +,10.48%,11.76%,12.02%,12.66%,13.73%,14.64%,14.61%,14.72%,14.55%,13.30%,12.99%,11.75%
Public +,5.20%,4.96%,4.62%,4.61%,4.21%,3.87%,3.72%,3.59%,3.41%,3.50%,3.38%,3.87%
No. of Shareholders,"2,59,911","2,91,646","2,66,217","2,72,148","2,46,597","2,17,233","2,03,284","1,94,951","1,82,990","2,98,304","3,04,528","3,05,672"
