,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,42,68,58,50,47,54,41,49
Inventory Days,,,,,,,0,
Days Payable,,,,,,,,
Cash Conversion Cycle,42,68,58,50,47,54,41,49
Working Capital Days,-37,50,-18,17,-166,-41,-121,-25
ROCE %,,11%,8%,9%,13%,13%,14%,15%
