,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,61.98%,61.98%,61.98%,61.98%,61.98%,61.98%,61.99%,61.99%,61.99%
FIIs +,16.11%,14.79%,11.89%,7.77%,12.45%,11.84%,12.29%,12.24%,15.86%
DIIs +,9.63%,11.49%,13.89%,17.58%,14.60%,15.68%,15.63%,15.82%,12.25%
Public +,6.79%,6.25%,6.75%,7.18%,5.48%,5.01%,4.59%,4.48%,4.43%
Others +,5.49%,5.49%,5.49%,5.49%,5.49%,5.49%,5.49%,5.48%,5.47%
No. of Shareholders,"28,144","24,333","32,815","33,470","31,546","34,440","36,103","40,819","53,687"
