,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.95%,74.95%,71.91%,74.95%,74.95%,74.95%,74.95%,74.08%,74.08%
FIIs +,18.15%,16.25%,21.27%,18.33%,17.39%,15.39%,14.66%,16.53%,16.27%
DIIs +,0.74%,2.24%,1.16%,1.76%,2.21%,4.10%,5.23%,4.77%,4.72%
Public +,6.16%,6.56%,5.66%,4.96%,5.45%,5.56%,5.16%,4.62%,4.93%
No. of Shareholders,"3,80,051","3,27,794","3,10,376","2,92,686","3,32,953","4,34,871","4,22,152","4,26,253","4,92,116"
