,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,416,219,127,515,332,458
Cash from Investing Activity +,-197,-198,-255,-329,-348,-443
Cash from Financing Activity +,-109,-3,-47,-62,-108,-16
Net Cash Flow,109,18,-175,124,-125,0
