,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"14,917","14,724","14,150","15,438","13,873","12,928","12,267","12,828","13,223","14,169","14,460","16,839","18,230"
Expenses +,"14,492","14,281","13,896","14,833","13,755","12,798","12,123","12,324","12,866","13,550","13,845","16,047","17,781"
Operating Profit,426,443,254,605,118,130,144,505,357,619,615,792,448
OPM %,3%,3%,2%,4%,1%,1%,1%,4%,3%,4%,4%,5%,2%
Other Income +,63,52,59,78,313,66,11,59,104,61,56,67,62
Interest,107,150,163,252,210,171,220,187,171,166,177,204,178
Depreciation,83,86,90,91,92,94,96,95,79,96,92,108,98
Profit before tax,298,260,60,340,129,-68,-162,281,211,418,402,546,234
Tax %,26%,24%,47%,32%,28%,-12%,-19%,27%,27%,25%,30%,28%,25%
Net Profit +,234,194,49,246,94,-79,-131,201,157,313,311,411,191
EPS in Rs,1.80,1.49,0.38,1.89,0.72,-0.61,-1.01,1.55,1.21,2.41,2.39,3.16,1.46
Raw PDF,,,,,,,,,,,,,
