,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,560,760,897,925,934,934,950,961,961
Reserves,540,905,936,"1,395","1,511","1,674","1,425",823,662
Borrowings +,"1,524","1,226","1,259","1,216","1,465","1,613","1,877","1,796","1,701"
Other Liabilities +,"2,965","4,189","3,943","4,225","5,043","5,394","5,280","6,060","6,764"
Total Liabilities,"5,588","7,081","7,034","7,761","8,953","9,615","9,531","9,640","10,088"
Fixed Assets +,"2,506","2,620","2,695","2,693","2,702","2,729","2,752","2,732","2,730"
CWIP,102,149,165,189,169,150,139,142,126
Investments,41,38,40,38,36,35,35,35,35
Other Assets +,"2,939","4,274","4,135","4,841","6,046","6,701","6,605","6,731","7,196"
Total Assets,"5,588","7,081","7,034","7,761","8,953","9,615","9,531","9,640","10,088"
