,Dec 2022,Dec 2023,Dec 2024
Equity Capital,0.40,0.40,86
Reserves,339,509,976
Borrowings +,27,31,145
Other Liabilities +,43,64,296
Total Liabilities,409,603,"1,504"
Fixed Assets +,110,117,384
CWIP,0,20,36
Investments,0,0,0
Other Assets +,299,466,"1,084"
Total Assets,409,603,"1,504"
