,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,30,30,30,30,30,30,30,30,30,30,29,29
Reserves,919,"1,009","1,585","1,936","2,214","2,676","3,125","3,797","4,399","4,642","5,085","5,569"
Borrowings +,367,299,316,168,16,55,108,133,144,52,237,202
Other Liabilities +,502,485,535,591,749,783,880,976,"1,117","1,028","1,104","1,201"
Total Liabilities,"1,818","1,823","2,465","2,724","3,009","3,543","4,144","4,935","5,690","5,752","6,455","7,001"
Fixed Assets +,570,514,750,"1,026","1,027","1,104","1,110","1,418","1,634","1,770","2,792","2,847"
CWIP,59,112,180,59,96,172,368,250,420,"1,033",281,124
Investments,63,66,382,429,470,752,"1,137","1,361","1,339",881,"1,392","1,766"
Other Assets +,"1,126","1,131","1,154","1,210","1,415","1,515","1,528","1,906","2,297","2,068","1,990","2,263"
Total Assets,"1,818","1,823","2,465","2,724","3,009","3,543","4,144","4,935","5,690","5,752","6,455","7,001"
