,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,303,303,301,301,302,301,301,302,301,301,305,305
Reserves,"20,871","21,987","18,665","22,346","27,696","34,494","36,298","46,462","66,996","65,394","77,364","79,191"
Borrowings +,"35,527","38,754","42,204","43,334","39,393","47,396","61,423","62,392","72,237","80,853","87,984","98,752"
Other Liabilities +,"20,939","24,610","20,737","22,024","24,579","32,606","33,798","39,161","56,951","63,991","62,245","62,494"
Total Liabilities,"77,640","85,654","81,907","88,005","91,970","114,797","131,820","148,317","196,485","210,539","227,898","240,742"
Fixed Assets +,"47,046","52,176","56,140","58,730","57,848","62,644","62,085","64,917","99,880","104,452","112,461","124,995"
CWIP,"9,400","8,265","7,271","4,363","5,950","11,889","27,191","32,566","16,905","22,166","29,676","20,478"
Investments,663,599,"1,195","1,366","1,469","1,894","1,259","8,581","4,940","4,806","7,246","15,217"
Other Assets +,"20,531","24,613","17,302","23,546","26,703","38,370","41,285","42,253","74,760","79,115","78,515","80,052"
Total Assets,"77,640","85,654","81,907","88,005","91,970","114,797","131,820","148,317","196,485","210,539","227,898","240,742"
