,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,171","3,334","3,126","3,636","3,154","2,960","3,211","3,223"
Expenses +,"2,867","3,002","2,751","3,282","2,801","2,615","2,847","2,930"
Operating Profit,304,332,374,355,353,344,364,294
OPM %,10%,10%,12%,10%,11%,12%,11%,9%
Other Income +,50,100,56,173,59,130,121,164
Interest,116,157,129,176,147,164,169,150
Depreciation,111,114,124,146,130,120,117,124
Profit before tax,128,160,178,207,135,191,200,184
Tax %,29%,35%,39%,30%,32%,29%,26%,40%
Net Profit +,91,104,110,145,92,135,149,111
EPS in Rs,12.64,14.47,15.24,4.25,2.69,3.97,4.05,3.02
Raw PDF,,,,,,,,
