,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,40.31%,40.31%,40.31%,40.31%,40.31%,45.24%,45.24%,45.24%,45.24%
FIIs +,32.90%,32.93%,31.42%,32.32%,28.20%,23.03%,17.66%,22.59%,21.55%
DIIs +,13.00%,8.26%,9.00%,14.00%,16.82%,16.23%,24.18%,21.99%,21.34%
Public +,13.79%,18.50%,19.27%,13.37%,14.67%,15.50%,12.92%,10.18%,11.87%
No. of Shareholders,"1,83,621","2,14,163","2,07,929","2,38,139","2,96,570","4,52,133","3,62,974","2,97,899","3,64,182"
