,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,71,93,91,79,91,82,54
Inventory Days,0,0,0,0,0,0,0
Days Payable,312,,,,,,
Cash Conversion Cycle,-241,93,91,79,91,82,54
Working Capital Days,55,65,-6,-8,69,60,80
ROCE %,,22%,15%,25%,28%,28%,26%
