,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,520,881,"1,436","1,590","2,409",-349,"2,199","4,050",908,"2,719","5,806"
Cash from Investing Activity +,566,314,"1,550",-490,-532,873,"-1,404","-2,736",-334,"-2,000","-3,971"
Cash from Financing Activity +,-506,-544,"-3,616","-1,100","-1,731",-677,-601,"-1,114",-924,-739,"-1,758"
Net Cash Flow,580,651,-630,1,146,-153,195,199,-350,-20,78
