,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,619,284,358,406,508,554,467,568,848,"1,156","1,344","1,535"
Borrowings +,0,332,397,491,418,573,530,"1,522","1,066","1,120","1,073","1,007"
Other Liabilities +,297,349,486,477,553,661,"1,620",783,891,923,"1,021","1,097"
Total Liabilities,940,988,"1,265","1,397","1,503","1,811","2,641","2,897","2,829","3,223","3,461","3,663"
Fixed Assets +,228,216,453,471,518,654,"1,665","1,583","1,437","1,437","1,823","1,814"
CWIP,8,25,21,67,99,91,18,7,69,439,74,77
Investments,24,26,0,0,0,0,0,150,207,171,307,386
Other Assets +,679,721,790,860,885,"1,066",958,"1,158","1,115","1,176","1,257","1,386"
Total Assets,940,988,"1,265","1,397","1,503","1,811","2,641","2,897","2,829","3,223","3,461","3,663"
