,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,67.18%,67.17%,67.17%,67.17%,67.17%,67.16%,67.16%,67.16%,67.16%,67.69%,65.73%,69.65%
FIIs +,8.89%,8.96%,9.79%,10.41%,10.76%,10.39%,10.17%,7.92%,8.02%,8.38%,8.24%,6.97%
DIIs +,3.19%,3.00%,2.82%,2.13%,1.84%,2.34%,2.90%,4.86%,5.01%,4.76%,4.42%,2.49%
Public +,20.74%,20.86%,20.22%,20.28%,20.23%,20.12%,19.77%,20.05%,19.81%,19.17%,21.61%,20.89%
No. of Shareholders,"98,455","1,05,570","94,918","96,476","92,342","91,441","94,147","90,399","95,338","87,922","85,797","87,744"
