,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,78.06%,78.06%,78.06%,75.00%,75.00%,75.00%
FIIs +,3.02%,4.43%,5.88%,7.70%,7.47%,6.51%
DIIs +,12.75%,12.44%,12.08%,13.57%,13.54%,13.80%
Public +,6.17%,5.07%,3.98%,3.73%,3.97%,4.69%
No. of Shareholders,"1,51,407","1,32,505","1,17,810","1,18,258","1,17,627","1,22,650"
