,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-121,-76,-106,-163,114,269,147,733,-112,-475,"-1,100",-360
Cash from Investing Activity +,-135,-44,-148,-968,-5,332,-264,-346,-49,-74,231,-528
Cash from Financing Activity +,219,120,958,501,19,-760,76,-385,282,486,824,878
Net Cash Flow,-37,0,704,-630,128,-159,-40,2,122,-62,-45,-9
